id,name,surname,initials,age,date_of_birth
0,Stefan,Griffon,SG,54,28/06/1968
1,Joan,Vanidestine,JV,47,28/06/1975
2,Michael,Englebrecht,ME,23,28/06/1999
3,John,Mason,JM,19,28/06/2003
4,Michelle,Watson,MW,67,28/06/1955
5,Mary,Webb,MW,72,28/06/1950
6,John,Vanidestine,JV,41,28/06/1981
7,Mellisa,Farraday,MF,66,28/06/1956
8,Lucy,Simpson,LS,64,28/06/1958
9,Lucy,Montre,LM,31,28/06/1991
10,Stefan,Callisi,SC,72,28/06/1950
11,Kyle,Johnston,KJ,22,28/06/2000
12,John,Griffon,JG,33,28/06/1989
13,Daisy,Farraday,DF,31,28/06/1991
14,Cindy,Griffon,CG,24,28/06/1998
15,James,Strider,JS,46,28/06/1976
16,James,Strider,JS,61,28/06/1961
17,Stefan,Mason,SM,30,28/06/1992
18,Michael,Tuffin,MT,35,28/06/1987
19,Ken,Strider,KS,72,28/06/1950
20,Stefan,Simpson,SS,29,28/06/1993
21,Michael,Farraday,MF,68,28/06/1954
22,Kyle,Johnston,KJ,42,28/06/1980
23,Joan,Watson,JW,68,28/06/1954
24,Cindy,Holdsworth,CH,67,28/06/1955
25,Daisy,Johnston,DJ,25,28/06/1997
26,Stefan,Holdsworth,SH,24,28/06/1998
27,Michelle,Holdsworth,MH,33,28/06/1989
28,Kyle,Watson,KW,21,28/06/2001
29,Cindy,Holdsworth,CH,59,28/06/1963
30,Mellisa,Farraday,MF,68,28/06/1954
31,James,Walker,JW,38,28/06/1984
32,Ken,Copperfield,KC,49,28/06/1973
33,Daisy,Griffon,DG,51,28/06/1971
34,Annatjie,Webb,AW,31,28/06/1991
35,Cindy,Tesla,CT,45,28/06/1977
36,Mellisa,Montre,MM,60,28/06/1962
37,James,Copperfield,JC,25,28/06/1997
38,Daisy,Webb,DW,24,28/06/1998
39,Joan,Griffon,JG,32,28/06/1990
40,Tristan,Englebrecht,TE,37,28/06/1985
41,Joan,Englebrecht,JE,53,28/06/1969
42,Jonothan,Farraday,JF,47,28/06/1975
43,Joan,Griffon,JG,31,28/06/1991
44,James,Webb,JW,60,28/06/1962
45,Kyle,Tuffin,KT,34,28/06/1988
46,Mellisa,Mason,MM,24,28/06/1998
47,Joan,Tuffin,JT,30,28/06/1992
48,Mellisa,Watson,MW,64,28/06/1958
